epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.917,1.20825,5.41542,1.55879,0.51885,0.0095,0.00717,0.00477,1.29698,4.47635,1.93023,0.00333076,0.00333076,0.00333076
2,755.845,1.26763,4.56928,1.60277,0.55534,0.02435,0.01945,0.01352,1.27277,3.77612,1.84975,0.00659812,0.00659812,0.00659812
3,1104.99,1.2996,4.21553,1.59813,0.57358,0.0343,0.02633,0.01784,1.32648,3.71891,1.94962,0.00979948,0.00979948,0.00979948
4,1451.57,1.30669,4.04791,1.58807,0.58053,0.0517,0.04207,0.02996,1.26215,3.4465,1.84504,0.009703,0.009703,0.009703
5,1798.18,1.26305,3.81096,1.5527,0.59812,0.06798,0.05252,0.03732,1.193,3.20868,1.74085,0.009604,0.009604,0.009604
6,2147.77,1.23302,3.60152,1.52889,0.61039,0.07998,0.06463,0.04707,1.17511,3.15406,1.71122,0.009505,0.009505,0.009505
7,2493.37,1.21634,3.39234,1.51447,0.60061,0.08934,0.08198,0.06034,1.14807,3.03942,1.69916,0.009406,0.009406,0.009406
8,2844.64,1.20636,3.2541,1.50255,0.61038,0.10265,0.08874,0.06667,1.12468,2.94504,1.67814,0.009307,0.009307,0.009307
9,3199.53,1.19286,3.14032,1.49373,0.59275,0.10597,0.09257,0.0686,1.10942,2.85429,1.66145,0.009208,0.009208,0.009208
10,3548.58,1.17702,3.05706,1.48117,0.55921,0.12607,0.09978,0.07302,1.11353,2.80823,1.65527,0.009109,0.009109,0.009109
11,3902.85,1.17034,2.98957,1.47622,0.53266,0.12711,0.10432,0.07858,1.08308,2.7569,1.63594,0.00901,0.00901,0.00901
12,4256.06,1.16403,2.92259,1.46721,0.52097,0.13846,0.11054,0.08299,1.07887,2.73465,1.62078,0.008911,0.008911,0.008911
13,4604.23,1.15091,2.86567,1.46288,0.5191,0.13504,0.11372,0.08473,1.07294,2.67544,1.61011,0.008812,0.008812,0.008812
14,4956.36,1.1479,2.82941,1.45921,0.52416,0.14677,0.12034,0.09073,1.06333,2.66828,1.60819,0.008713,0.008713,0.008713
15,5308.35,1.14297,2.77072,1.45628,0.51137,0.15101,0.12467,0.09434,1.05544,2.62015,1.59933,0.008614,0.008614,0.008614
16,5661.4,1.13848,2.74187,1.44676,0.51456,0.15126,0.1378,0.10575,1.05,2.60481,1.60166,0.008515,0.008515,0.008515
17,6014.08,1.12786,2.70725,1.44447,0.49284,0.15186,0.13415,0.10207,1.06029,2.5916,1.60526,0.008416,0.008416,0.008416
18,6364.58,1.12063,2.66032,1.43944,0.4848,0.15218,0.13904,0.10475,1.03937,2.56736,1.58671,0.008317,0.008317,0.008317
