epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3092,1.3236,5.53461,1.70634,0.00408,0.00365,0.00244,0.00196,1.13185,4.87379,1.79879,1.0956e-05,1.0956e-05,1.0956e-05
2,190.137,1.19673,5.21349,1.62311,0.0022,0.06196,0.0048,0.00328,1.15522,4.43818,1.79968,2.17386e-05,2.17386e-05,2.17386e-05
3,284.789,1.20663,4.82783,1.63852,0.45136,0.00982,0.00825,0.00561,1.13896,4.17206,1.76955,3.23035e-05,3.23035e-05,3.23035e-05
4,357.215,1.19751,4.54733,1.6425,0.44242,0.01361,0.01157,0.00817,1.14378,3.97602,1.76491,3.20199e-05,3.20199e-05,3.20199e-05
5,432.207,1.20479,4.36427,1.64948,0.45165,0.01929,0.01293,0.00919,1.14429,3.87417,1.77084,3.16932e-05,3.16932e-05,3.16932e-05
6,507.135,1.20926,4.20228,1.65133,0.47013,0.02566,0.01675,0.01215,1.13617,3.75152,1.76191,3.13665e-05,3.13665e-05,3.13665e-05
7,579.764,1.19747,4.09181,1.64305,0.47743,0.02376,0.01822,0.01293,1.13736,3.67361,1.7548,3.10398e-05,3.10398e-05,3.10398e-05
8,651.8,1.19066,3.95702,1.63944,0.46877,0.03096,0.02362,0.01703,1.13622,3.5977,1.77295,3.07131e-05,3.07131e-05,3.07131e-05
9,724.949,1.18261,3.85928,1.63063,0.46829,0.03028,0.02415,0.01743,1.13135,3.5491,1.7612,3.03864e-05,3.03864e-05,3.03864e-05
10,799.132,1.17297,3.78148,1.6277,0.47671,0.03227,0.02826,0.02084,1.12265,3.47401,1.74623,3.00597e-05,3.00597e-05,3.00597e-05
11,871.666,1.1702,3.69076,1.62261,0.46492,0.03997,0.03288,0.02394,1.1273,3.41449,1.75482,2.9733e-05,2.9733e-05,2.9733e-05
12,946.261,1.15859,3.62001,1.60804,0.46731,0.03912,0.03297,0.02387,1.11138,3.39084,1.74263,2.94063e-05,2.94063e-05,2.94063e-05
13,1021.1,1.14792,3.57994,1.60638,0.46478,0.04632,0.03649,0.0267,1.11874,3.34331,1.74393,2.90796e-05,2.90796e-05,2.90796e-05
14,1095.51,1.14708,3.48891,1.60213,0.48072,0.04893,0.03783,0.02794,1.10611,3.30314,1.71582,2.87529e-05,2.87529e-05,2.87529e-05
15,1170.76,1.14103,3.45333,1.59631,0.50433,0.04361,0.03899,0.02825,1.1122,3.27178,1.74095,2.84262e-05,2.84262e-05,2.84262e-05
16,1244.94,1.12037,3.40118,1.58036,0.56576,0.03572,0.03987,0.02912,1.11281,3.23058,1.71428,2.80995e-05,2.80995e-05,2.80995e-05
17,1320.83,1.14315,3.3731,1.59521,0.55668,0.04351,0.04121,0.03006,1.10634,3.21599,1.71649,2.77728e-05,2.77728e-05,2.77728e-05
18,1396,1.13041,3.29878,1.58468,0.53838,0.04614,0.04244,0.03093,1.10589,3.1949,1.70858,2.74461e-05,2.74461e-05,2.74461e-05
19,1470.21,1.12253,3.25615,1.57652,0.56112,0.04479,0.04726,0.03442,1.10051,3.15542,1.715,2.71194e-05,2.71194e-05,2.71194e-05
